iShares Exponential Technologies ETF,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
GILD,GILEAD SCIENCES INC,Health Care,Equity,"13,420,000.50",0.40,"13,420,000.50","170,175.00",78.86,United States,NASDAQ,USD,1.00,USD,-
NOKIA.PA,NOKIA,Information Technology,Equity,"13,340,937.87",0.40,"13,340,937.87","3,098,408.00",4.31,Finland,Nasdaq Omx Helsinki Ltd.,USD,0.92,EUR,"Jan 01, 1998"
SEDG,SOLAREDGE TECHNOLOGIES INC,Information Technology,Equity,"13,291,007.80",0.39,"13,291,007.80","48,034.00",276.70,United States,NASDAQ,USD,1.00,USD,-
9696.HK,TIANQI LITHIUM CLASS H CORP H,Materials,Equity,"13,186,205.35",0.39,"13,186,205.35","1,807,400.00",7.30,China,Hong Kong Exchanges And Clearing Ltd,USD,7.82,HKD,-
ALB,ALBEMARLE CORP,Materials,Equity,"13,149,437.10",0.39,"13,149,437.10","57,630.00",228.17,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
LAC,LITHIUM AMERICAS CORP,Materials,Equity,"13,082,336.90",0.39,"13,082,336.90","625,095.00",20.93,Canada,Toronto Stock Exchange,USD,1.32,CAD,-
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,Equity,"12,996,427.32",0.39,"12,996,427.32","64,476.00",201.57,United States,NASDAQ,USD,1.00,USD,-
ERIC.BA,ERICSSON B,Information Technology,Equity,"12,919,321.43",0.38,"12,919,321.43","2,357,887.00",5.48,Sweden,Nasdaq Omx Nordic,USD,10.64,SEK,"Jan 01, 1998"
WLN.PA,WORLDLINE SA,Financials,Equity,"12,817,133.64",0.38,"12,817,133.64","337,109.00",38.02,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-
JAZZ,JAZZ PHARMACEUTICALS PLC,Health Care,Equity,"12,734,607.60",0.38,"12,734,607.60","98,948.00",128.70,United States,NASDAQ,USD,1.00,USD,-
BE,BLOOM ENERGY CLASS A CORP,Industrials,Equity,"12,703,856.88",0.38,"12,703,856.88","740,318.00",17.16,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
RVTY,REVVITY INC,Health Care,Equity,"12,697,731.46",0.38,"12,697,731.46","106,471.00",119.26,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ABBV,ABBVIE INC,Health Care,Equity,"12,530,837.76",0.37,"12,530,837.76","90,384.00",138.64,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ENV,ENVESTNET INC,Information Technology,Equity,"12,488,116.88",0.37,"12,488,116.88","226,316.00",55.18,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BLDP,BALLARD POWER SYSTEMS INC,Industrials,Equity,"12,475,008.44",0.37,"12,475,008.44","2,729,296.00",4.57,Canada,Toronto Stock Exchange,USD,1.32,CAD,-
CHPT,CHARGEPOINT HOLDINGS INC CLASS A,Industrials,Equity,"12,339,701.28",0.37,"12,339,701.28","1,389,606.00",8.88,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
GEN,GEN DIGITAL INC,Information Technology,Equity,"12,322,366.38",0.37,"12,322,366.38","661,426.00",18.63,United States,NASDAQ,USD,1.00,USD,-
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"12,288,492.24",0.36,"12,288,492.24","185,739.00",66.16,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
WAT,WATERS CORP,Health Care,Equity,"11,837,531.60",0.35,"11,837,531.60","43,973.00",269.20,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
A,AGILENT TECHNOLOGIES INC,Health Care,Equity,"11,753,970.68",0.35,"11,753,970.68","97,036.00",121.13,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
9866.HK,NIO CLASS A INC,Consumer Discretionary,Equity,"11,674,029.44",0.35,"11,674,029.44","1,173,360.00",9.95,China,Hong Kong Exchanges And Clearing Ltd,USD,7.82,HKD,-
002460.SZ,GANFENG LITHIUM GROUP LTD A,Materials,Equity,"11,655,103.33",0.35,"11,655,103.33","1,272,960.00",9.16,China,Shenzhen Stock Exchange,USD,7.12,CNY,-
9698.HK,GDS HOLDINGS LTD CLASS A,Information Technology,Equity,"11,627,920.25",0.34,"11,627,920.25","6,930,400.00",1.68,China,Hong Kong Exchanges And Clearing Ltd,USD,7.82,HKD,-
PLUG,PLUG POWER INC,Industrials,Equity,"11,496,576.77",0.34,"11,496,576.77","1,087,661.00",10.57,United States,NASDAQ,USD,1.00,USD,-
GH,GUARDANT HEALTH INC,Health Care,Equity,"11,458,324.97",0.34,"11,458,324.97","308,933.00",37.09,United States,NASDAQ,USD,1.00,USD,-
SQM-B.SN,SOCIEDAD QUIMICA Y MINERA DE CHILE,Materials,Equity,"11,364,906.60",0.34,"11,364,906.60","157,180.00",72.31,Chile,Santiago Stock Exchange,USD,792.55,CLP,-
NPI.TO,NORTHLAND POWER INC,Utilities,Equity,"11,185,459.17",0.33,"11,185,459.17","537,183.00",20.82,Canada,Toronto Stock Exchange,USD,1.32,CAD,-
INCY,INCYTE CORP,Health Care,Equity,"11,169,389.81",0.33,"11,169,389.81","176,647.00",63.23,United States,NASDAQ,USD,1.00,USD,-
MRNA,MODERNA INC,Health Care,Equity,"10,709,306.16",0.32,"10,709,306.16","83,192.00",128.73,United States,NASDAQ,USD,1.00,USD,-
OCDO.L,OCADO GROUP PLC,Consumer Staples,Equity,"10,504,950.47",0.31,"10,504,950.47","1,775,195.00",5.92,United Kingdom,London Stock Exchange,USD,0.78,GBP,-
688180.SS,SHANGHAI JUNSHI BIOSCIENCES LTD A,Health Care,Equity,"10,492,763.62",0.31,"10,492,763.62","1,815,327.00",5.78,China,Shanghai Stock Exchange,USD,7.12,CNY,-
RUN,SUNRUN INC,Industrials,Equity,"10,032,625.00",0.30,"10,032,625.00","518,750.00",19.34,United States,NASDAQ,USD,1.00,USD,-
ENPH,ENPHASE ENERGY INC,Information Technology,Equity,"8,487,799.85",0.25,"8,487,799.85","46,685.00",181.81,United States,NASDAQ,USD,1.00,USD,-
USD,USD CASH,Cash and/or Derivatives,Cash,"8,124,488.38",0.24,"8,124,488.38","8,124,488.00",100.00,United States,-,USD,1.00,USD,-
SPWR,SUNPOWER CORP,Industrials,Equity,"7,426,705.00",0.22,"7,426,705.00","675,155.00",11.00,United States,NASDAQ,USD,1.00,USD,-
DISH,DISH NETWORK CORP CLASS A,Communication,Equity,"6,689,992.94",0.20,"6,689,992.94","1,034,002.00",6.47,United States,NASDAQ,USD,1.00,USD,-
LUMN,LUMEN TECHNOLOGIES INC,Communication,Equity,"6,126,689.25",0.18,"6,126,689.25","2,722,973.00",2.25,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
MQ,MARQETA INC CLASS A,Financials,Equity,"1,103,591.24",0.03,"1,103,591.24","224,764.00",4.91,United States,NASDAQ,USD,1.00,USD,-
